Lot,Wafer,X,Y,temp,Site,Bin,Split,IDDS_Hard_VDD_All_VDD33,IDDS_Hard_VDDA_VDD33,IDDS_Hard_VDDP_VDD33,IDDS_Hard_VDDC_VDD33,IDDS_Hard_VDDI_VDD33,IDDS_Soft_VDD_All_VDD33,IDDS_Soft_VDDA_VDD33,IDDS_Soft_VDDP_VDD33,IDDS_Soft_VDDC_VDD33,IDDS_Soft_VDDI_VDD33,IDDD_VDD_All_VDD33,IDDD_VDDA_VDD33,IDDD_VDDP_VDD33,IDDD_VDDC_VDD33,IDDD_VDDI_VDD33,PCP_3p9,NCP_0p75,Analog_AMONITOR_BGR,Analog_AMONITOR_VRTOP,Analog_AMONITOR_REFT,Analog_AMONITOR_ASPCML,Analog_AMONITOR_REFB,Analog_AMONITOR_DAC_OUT0,Analog_AMONITOR_DAC_OUT1,Ana_Temp_Rd1,Ana_Temp_Rd2,Ana_Temp_Rd3,Ana_Temp24_Rd1,Ana_Temp24_Rd2,Ana_Temp24_Rd3,ADC_PGA_GAIN1_1_Max_Test,ADC_PGA_GAIN1_1_Min_Test,ADC_PGA_GAIN1_2_Max_Test,ADC_PGA_GAIN1_2_Min_Test,ADC_ASP_GAIN_Max_Test,ADC_ASP_GAIN_Min_Test,ADC_ADC1_Max_Test,ADC_ADC1_Min_Test,ADC_ADC2_Max_Test,ADC_ADC2_Min_Test,ADC_RNG_Max_Test,ADC_RNG_Min_Test,ADC_DACOFFSET1_Max_Test,ADC_DACOFFSET1_Min_Test,ADC_DACOFFSET2_Max_Test,ADC_DACOFFSET2_Min_Test,ADC_DACOFFSET3_Max_Test,ADC_DACOFFSET3_Min_Test,Black_Signal_G1_Test,Black_Signal_G2_Test,Black_Signal_R_Test,Black_Signal_B_Test,Black_GGRatio_Test,Black_CFPN_Test,Black_RFPN_Test,Black_Defect_High_Test,White_Sens_G1_Test,White_Sens_G2_Test,White_Sens_R_Test,White_Sens_B_Test,White_Signal_G_Test,White_Signal_G2_Test,White_Signal_R_Test,White_Signal_B_Test,White_Ratio_GG_Test,White_Ratio_RG_Test,White_Ratio_BG_Test,White_Defect_High_Test,White_Defect_Low_Test,White_AdjacentDefect_Flat,White_CFPN_Test,White_RFPN_Test,White_Blotch_Test,White_SNR_G1_Test,White_SNR_G2_Test,White_SNR_R_Test,White_SNR_B_Test,White_VAR1,White_VAR2,White_VAR3,White_VAR4,White_VAR5,White_VAR6,White_VAR7,White_VAR8,White_VAR9,White_CG1,White_CG2,White_CG3,White_CG4,White_CG5,White_CG6,White_CG7,White_CG8,White_CG9,White2_Sens_G1_Test,White2_Sens_G2_Test,White2_Sens_R_Test,White2_Sens_B_Test,White2_Signal_G_Test,White2_Signal_G2_Test,White2_Signal_R_Test,White2_Signal_B_Test,White2_Ratio_GG_Test,White2_Ratio_RG_Test,White2_Ratio_BG_Test,White2_Defect_High_Test,White2_Defect_Low_Test,White2_AdjacentDefect_Fla,White2_CFPN_Test,White2_RFPN_Test,White2_Blotch_Test,White2_SNR_G1_Test,White2_SNR_G2_Test,White2_SNR_R_Test,White2_SNR_B_Test,White3_Sens_G1_Test,White3_Sens_G2_Test,White3_Sens_R_Test,White3_Sens_B_Test,White3_Signal_G_Test,White3_Signal_G2_Test,White3_Signal_R_Test,White3_Signal_B_Test,White3_Ratio_GG_Test,White3_Ratio_RG_Test,White3_Ratio_BG_Test,White3_Defect_High_Test,White3_Defect_Low_Test,White3_AdjacentDefect_Fla,White3_CFPN_Test,White3_RFPN_Test,White3_Blotch_Test,White3_SNR_G1_Test,White3_SNR_G2_Test,White3_SNR_R_Test,White3_SNR_B_Test,Lag1_GreenMean_Test,Lag2_GreenMean_Test,Lag_Diff_G1_Test,Lag_Diff_G2_Test,Lag_Diff_Red_Test,Lag_Diff_Blue_Test,Lag3_GreenMean_Test,Lag4_GreenMean_Test,Lag4_Diff_G1_Test,Lag4_Diff_G2_Test,Lag4_Diff_Red_Test,Lag4_Diff_Blue_Test,Dark_Signal_G_Test,Dark_Signal_G2_Test,Dark_Signal_R_Test,Dark_Signal_B_Test,Dark_BP_1280Code_Test,Dark_2Adj_Flat_Test,Dark_Variation_G1_Test,Dark_Variation_G2_Test,Dark_Variation_R_Test,Dark_Variation_B_Test,Dark_Uniformity_Test,Dark_Defect_L0_200,Dark_Defect_L201_400,Dark_Defect_L401_600,Dark_Defect_L601_800,Dark_Defect_L801_1000,Dark_Defect_L1001_1200,Dark_Defect_L1201_1400,Dark_Defect_L1401_1600,Dark_Defect_L1601_2000,Dark_Defect_L2001_2400,Dark_Defect_L2401_2800,Dark_Defect_L2801_3200,Dark_Defect_L3201_3600,Dark_Defect_L3601_4000,Dark_Defect_L4001_4095,Dark2_Signal_G_Test,Dark2_Signal_G2_Test,Dark2_Signal_R_Test,Dark2_Signal_B_Test,Dark2_BP_1280Code_Test,Dark2_2Adj_Flat_Test,Dark2_Variation_G1_Test,Dark2_Variation_G2_Test,Dark2_Variation_R_Test,Dark2_Variation_B_Test,Dark2_Uniformity_Test,Dark3_Signal_G_Test,Dark3_Signal_G2_Test,Dark3_Signal_R_Test,Dark3_Signal_B_Test,Dark3_BP_1280Code_Test,Dark3_2Adj_Flat_Test,Dark3_Variation_G1_Test,Dark3_Variation_G2_Test,Dark3_Variation_R_Test,Dark3_Variation_B_Test,Dark3_Uniformity_Test,Dark4_Signal_G_Test,Dark4_Signal_G2_Test,Dark4_Signal_R_Test,Dark4_Signal_B_Test,Dark4_BP_1280Code_Test,Dark4_2Adj_Flat_Test,Dark4_Variation_G1_Test,Dark4_Variation_G2_Test,Dark4_Variation_R_Test,Dark4_Variation_B_Test,Dark4_Uniformity_Test,Sat_Signal_G_Test,Sat_Signal_G2_Test,Sat_Signal_R_Test,Sat_Signal_B_Test,Sat_Std_Test,Sat_Uniformity_Test,Sat_CFPN_Test,Sat_RFPN_Test,Sat2_Signal_G_Test,Sat2_Signal_G2_Test,Sat2_Signal_R_Test,Sat2_Signal_B_Test,Sat2_Std_Test,Sat2_Uniformity_Test,Sat2_CFPN_Test,Sat2_RFPN_Test
17B636,#20,100,100,60.20,0,1,1,9.5801e-06,1.416e-06,2.2578e-06,5.7637e-06,1.425781e-07,0.0011365,1.3086e-06,1.9727e-06,0.001123,1.01953e-05,0.0260039,0.0151328,0.0036543,0.0025039,0.0047129,3.0309,-0.8506275,1.1407,2.3599,2.0138,1.5568,1.0995,1.3274,1.2138,15630.0,15620.0,15614.0,15763.0,15760.0,15751.0,155.75,63.5,139.25,93.75,1396.0,-3.5,17.75,0.0,25.5,0.0,1171.0,-4.5,8.5,-3.25,14.75,-1.0,71.0,57.5,236.0,236.0,236.0,236.0,1.0,-2.2659,2.8655,239904.0,8.6538,8.6538,8.6488,8.6488,1728.0,1727.0,1727.0,1727.0,0.9994213,0.9997106,0.9997106,1.0,0.0,0.0,-12.3254,7.2605,3955.0,37.3752,37.0257,37.2393,37.1523,400.1653,536.9805,542.9072,436.8966,468.5252,457.6147,443.0491,453.2317,457.0212,47.1497,49.4805,47.5227,47.0259,49.0341,47.2223,46.8366,47.743,47.7349,8.6338,8.6338,8.6338,8.6338,862.0,861.0,862.0,862.0,0.9988399,1.0006,1.0006,1.0,0.0,0.0,-6.9087,-4.0084,4038.0,34.2812,34.2665,34.49,34.4027,8.557,8.557,8.557,8.5604,2563.0,2564.0,2563.0,2564.0,1.0004,0.9998049,1.0002,0.0,0.0,0.0,-18.5714,10.3992,3929.0,38.8339,38.6009,38.7958,38.6653,273.0,274.0,0.0,0.0,0.0,0.0,273.0,273.0,0.0,1.0,0.0,0.0,128.0,129.0,128.0,129.0,178.0,2.0,84.1264,93.3166,82.1738,83.3263,15.0,235401.0,4100.0,173.0,21.0,12.0,14.0,10.0,5.0,20.0,19.0,23.0,37.0,27.0,15.0,27.0,277.0,277.0,277.0,277.0,157.0,2.0,52.592,55.8172,51.4816,49.4648,14.0,334.0,334.0,334.0,334.0,190.0,2.0,83.4591,92.2073,81.2681,81.8088,15.0,389.0,389.0,389.0,389.0,212.0,2.0,99.0424,108.7231,97.1205,96.9741,16.0,3354.0,3355.0,3353.0,3353.0,53.3579,162.0,8.7659,17.0462,3345.0,3346.0,3344.0,3344.0,52.6196,159.0,-9.5556,17.2017
17B636,#20,101,100,60.20,1,1,1,7.6309e-06,1.2441e-06,2.1074e-06,4.2578e-06,2.14844e-08,0.0011623,1.4648e-06,2.0703e-06,0.0011484,1.03516e-05,0.0265332,0.0155547,0.0037793,0.0025195,0.0046797,3.0359,-0.861824,1.2104,2.3766,2.1223,1.6451,1.1653,1.4083,1.1888,16350.0,16354.0,16370.0,16504.0,16497.0,16492.0,154.0,59.25,136.0,105.25,1345.0,-2.75,19.0,0.0,22.0,0.0,1140.0,-5.0,7.0,-2.0,12.25,4.0,69.5,57.25,262.0,262.0,262.0,262.0,1.0,1.7937,-2.605,239904.0,8.4836,8.4836,8.4886,8.4886,1694.0,1695.0,1695.0,1695.0,1.0006,1.0003,1.0003,0.0,0.0,0.0,-12.4127,-4.4748,0.0,37.8256,37.8503,37.9245,37.6964,413.349,422.4085,417.5468,416.1775,435.7173,425.3668,417.3641,423.6479,426.8657,45.3847,46.4199,46.0307,44.6741,46.5008,45.4134,45.2302,45.6521,46.0302,8.4535,8.4535,8.4535,8.4535,844.0,844.0,844.0,844.0,1.0,1.0,1.0,0.0,0.0,0.0,-7.0556,3.4328,0.0,34.8232,34.8057,34.9075,34.7805,8.3968,8.3968,8.3901,8.3968,2515.0,2515.0,2513.0,2515.0,1.0,0.9992048,1.0,0.0,0.0,0.0,-17.2143,5.4832,0.0,39.5831,39.682,39.3172,39.317,260.0,260.0,0.0,0.0,1.0,0.0,262.0,260.0,1.0,2.0,1.0,0.0,123.0,124.0,123.0,124.0,161.0,2.0,79.3322,81.9781,79.2806,69.8631,11.0,236755.0,2813.0,128.0,25.0,11.0,7.0,9.0,10.0,20.0,23.0,28.0,19.0,28.0,15.0,13.0,323.0,323.0,323.0,323.0,140.0,2.0,45.6346,50.1961,46.1086,40.6238,10.0,378.0,379.0,378.0,379.0,170.0,2.0,78.7602,80.8885,79.2888,69.4278,10.0,431.0,431.0,431.0,432.0,190.0,2.0,94.7754,95.9979,96.7591,82.7735,11.0,3189.0,3190.0,3187.0,3187.0,39.9392,83.0,9.8492,16.8403,3180.0,3181.0,3178.0,3178.0,39.6923,82.0,10.131,16.7059
17B636,#20,102,100,60.20,2,1,1,8.582e-06,1.4707e-06,2.0156e-06,4.9043e-06,1.914063e-07,0.0011565,1.4453e-06,2.2266e-06,0.0011426,1.0293e-05,0.0268281,0.0157266,0.0037988,0.0024961,0.0048066,3.035,-0.8722075,1.2105,2.3836,2.1434,1.6589,1.1723,1.4081,1.2103,17338.0,17336.0,17336.0,17493.0,17488.0,17485.0,148.25,59.25,131.25,93.5,1317.0,-4.25,194.0,-170.75,189.5,-162.5,1099.0,-7.75,8.0,-2.75,13.5,3.0,68.25,61.5,247.0,247.0,247.0,246.0,1.0,-3.1548,-242.2437,239428.0,8.3283,8.3283,8.3233,8.3233,1663.0,1663.0,1662.0,1662.0,1.0,0.9993987,0.9993987,1.0,477.0,471.0,-13.377,-409.2437,73.0,37.054,36.8258,36.5846,36.7196,399.3523,391.0971,404.8936,406.7987,411.8311,426.7834,401.2209,419.8572,414.4142,45.0663,44.2559,45.4502,44.3627,44.796,46.393,44.021,45.8473,45.2446,8.3033,8.3033,8.3033,8.3133,829.0,830.0,829.0,830.0,1.0012,0.9993972,1.0006,2.0,479.0,469.0,-7.5952,-334.3445,68.0,34.1824,34.226,34.1072,34.0701,8.2198,8.2198,8.2232,8.2198,2462.0,2463.0,2463.0,2462.0,1.0004,1.0002,0.9997969,1.0,162.0,472.0,-18.3135,-480.9748,68.0,38.1861,37.9176,37.9012,37.7824,255.0,254.0,1.0,0.0,1.0,0.0,255.0,254.0,0.0,0.0,0.0,1.0,124.0,125.0,125.0,125.0,163.0,2.0,74.3583,76.1479,75.2526,83.2532,10.0,236780.0,2798.0,107.0,21.0,16.0,15.0,10.0,11.0,22.0,22.0,22.0,29.0,26.0,14.0,11.0,304.0,304.0,304.0,304.0,132.0,0.0,43.0717,49.4506,43.3509,51.2161,10.0,359.0,359.0,359.0,359.0,180.0,2.0,74.2587,77.5117,75.3788,85.2178,11.0,411.0,411.0,411.0,411.0,195.0,2.0,90.4583,93.0133,91.1491,101.2123,13.0,3110.0,3110.0,3109.0,3108.0,43.9013,89.0,-9.9405,-366.6134,3103.0,3103.0,3102.0,3101.0,43.5965,87.0,-9.623,-368.3235
17B636,#20,103,100,60.20,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17B636,#20,97,101,60.10,3,1,1,8.4531e-06,1.4941e-06,1.9922e-06,4.7207e-06,2.460938e-07,0.001145,1.5234e-06,2.0898e-06,0.0011309,1.05273e-05,0.0265605,0.0155078,0.0036543,0.0025254,0.004873,3.0378,-0.8835917,1.2024,2.3831,2.1211,1.6408,1.1608,1.399,1.1898,16413.0,16411.0,16410.0,16559.0,16560.0,16566.0,145.25,58.75,142.75,99.75,1327.0,-0.75,16.5,0.0,21.5,0.0,1121.3,-4.5,7.0,-3.75,13.25,2.5,69.75,60.75,247.0,247.0,246.0,247.0,1.0,2.3056,2.3277,239904.0,8.5687,8.5687,8.5737,8.5787,1711.0,1712.0,1712.0,1713.0,1.0006,1.0003,1.0009,0.0,1.0,0.0,-13.2857,4.9748,0.0,37.9235,37.7684,37.771,37.797,430.4173,432.6786,431.7515,434.9207,432.23,440.7803,408.0245,434.6216,431.4725,45.8136,45.5936,45.631,46.0728,45.6799,46.4484,43.8056,46.3797,46.0085,8.5236,8.5236,8.5236,8.5337,851.0,852.0,851.0,852.0,1.0012,0.9994128,1.0006,0.0,1.0,0.0,-8.246,-3.4664,0.0,35.0145,34.8704,34.8351,34.5329,8.4836,8.4836,8.4802,8.4802,2541.0,2540.0,2540.0,2540.0,0.9996064,0.9998032,0.9998032,0.0,1.0,0.0,-19.1349,6.5504,0.0,39.3297,39.2014,39.2154,39.2755,266.0,265.0,0.0,0.0,0.0,0.0,266.0,266.0,0.0,1.0,0.0,0.0,124.0,124.0,123.0,124.0,167.0,2.0,81.6597,74.8656,83.3194,84.8513,10.0,236659.0,2925.0,105.0,21.0,11.0,10.0,10.0,6.0,18.0,19.0,30.0,28.0,33.0,12.0,17.0,298.0,298.0,297.0,297.0,145.0,2.0,47.8816,44.0886,47.8912,48.2641,11.0,353.0,353.0,353.0,353.0,181.0,2.0,80.4582,74.3301,82.077,84.2513,10.0,406.0,406.0,405.0,406.0,200.0,2.0,98.0861,88.2127,97.2442,102.5312,11.0,3219.0,3219.0,3218.0,3217.0,38.0835,76.0,7.6905,23.1387,3208.0,3208.0,3207.0,3206.0,37.7816,74.0,8.4841,22.7353
17B636,#20,98,101,60.10,4,1,1,8.2383e-06,1.6738e-06,2.0293e-06,4.2754e-06,2.597656e-07,0.0011512,1.582e-06,2.1289e-06,0.0011367,1.07813e-05,0.0273418,0.0163438,0.0036953,0.002543,0.0047598,3.0328,-0.8955389,1.2736,2.4061,2.2414,1.7437,1.2349,1.4856,1.2262,17275.0,17278.0,17272.0,17427.0,17424.0,17422.0,137.0,56.5,125.25,94.0,1249.3,-2.5,16.5,0.0,20.75,0.0,1049.7,-2.5,3.75,-1.5,13.25,3.25,68.75,59.75,238.0,238.0,238.0,238.0,1.0,2.3095,-5.3193,239904.0,8.113,8.113,8.113,8.113,1620.0,1621.0,1620.0,1620.0,1.0006,0.9996915,0.9996915,0.0,0.0,0.0,-14.9683,-6.521,0.0,37.9127,37.9371,37.8281,37.5901,380.6501,379.4113,387.4482,391.8882,391.1978,382.0507,378.9391,393.2341,374.8139,42.7053,42.4875,43.8284,43.8766,43.6599,42.8996,42.8004,44.4727,42.5305,8.0729,8.0729,8.0829,8.0729,806.0,807.0,807.0,806.0,1.0012,1.0006,0.9993801,0.0,0.0,0.0,-6.8333,-3.5336,0.0,34.9024,34.7639,35.1257,34.9002,8.0228,8.0228,8.0162,8.0162,2403.0,2403.0,2401.0,2401.0,1.0,0.9991677,0.9991677,0.0,0.0,0.0,-21.4444,-8.9076,0.0,39.625,39.6825,39.2205,38.8936,243.0,241.0,2.0,1.0,0.0,0.0,243.0,243.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,139.0,0.0,73.3344,77.3955,71.5008,69.4491,11.0,236933.0,2710.0,79.0,14.0,15.0,11.0,7.0,10.0,13.0,15.0,27.0,25.0,21.0,11.0,13.0,280.0,280.0,279.0,280.0,120.0,0.0,44.6629,44.7686,40.762,43.3753,10.0,331.0,332.0,331.0,331.0,148.0,0.0,72.4637,76.2062,71.5854,68.7117,10.0,381.0,381.0,381.0,381.0,171.0,0.0,87.2834,91.7671,88.434,85.8583,12.0,2990.0,2990.0,2989.0,2988.0,36.5764,63.0,8.4008,-16.2647,2982.0,2982.0,2980.0,2980.0,36.2789,62.0,8.1468,-16.0336
17B636,#20,99,101,60.10,5,1,1,9.0957e-06,2.2227e-06,2.2227e-06,4.3652e-06,2.851563e-07,0.0011668,1.8945e-06,1.9141e-06,0.0011523,1.06445e-05,0.026709,0.0155313,0.0037539,0.0025293,0.0048945,3.0321,-0.8643261,1.209,2.3852,2.1397,1.655,1.1703,1.4134,1.1947,16274.0,16276.0,16264.0,16411.0,16412.0,16415.0,138.25,54.25,137.25,98.5,1309.7,-3.5,18.5,0.0,24.0,0.0,1083.0,-4.0,5.5,-3.25,13.75,2.25,70.75,60.5,275.0,275.0,275.0,275.0,1.0,1.9206,2.7983,239904.0,8.4135,8.4135,8.4085,8.4135,1680.0,1680.0,1679.0,1680.0,1.0,0.9994048,1.0,0.0,0.0,0.0,-12.9405,4.5504,0.0,38.1455,37.9348,37.6916,37.9175,413.6537,411.54,419.3027,416.016,420.9447,429.1463,402.8419,415.2006,413.2047,44.902,44.5059,45.3358,44.8936,45.3121,46.217,44.0576,45.2116,45.0607,8.3834,8.3834,8.3834,8.3834,837.0,837.0,837.0,837.0,1.0,1.0,1.0,0.0,0.0,0.0,-7.2937,-2.8824,0.0,34.7971,34.8165,34.8949,34.8918,8.3133,8.3133,8.3133,8.3133,2490.0,2492.0,2490.0,2490.0,1.0008,0.9995986,0.9995986,0.0,0.0,0.0,-18.2143,5.1134,0.0,39.6637,39.231,39.4558,39.1762,258.0,259.0,0.0,1.0,0.0,0.0,259.0,258.0,1.0,1.0,0.0,0.0,123.0,123.0,123.0,123.0,135.0,0.0,74.4726,70.2483,68.0323,74.1532,16.0,236824.0,2790.0,103.0,22.0,10.0,16.0,13.0,13.0,10.0,11.0,22.0,25.0,23.0,12.0,10.0,363.0,363.0,363.0,363.0,112.0,0.0,44.4323,44.0021,40.9453,42.5112,18.0,418.0,417.0,417.0,417.0,156.0,0.0,73.3846,68.9912,67.7249,74.1118,17.0,469.0,469.0,469.0,469.0,168.0,0.0,87.1099,81.8908,80.6323,90.7403,18.0,3125.0,3126.0,3124.0,3124.0,39.8731,79.0,-11.5675,-15.2899,3117.0,3117.0,3116.0,3115.0,39.5451,77.0,-11.4881,-14.916
17B636,#20,100,101,60.10,6,1,1,7.7305e-06,1.4922e-06,1.916e-06,4.0039e-06,3.183594e-07,0.0011582,1.3477e-06,2.1094e-06,0.0011445,1.02148e-05,0.0263242,0.0152734,0.0037148,0.0025215,0.0048145,3.0365,-0.86908,1.2079,2.386,2.131,1.6486,1.1658,1.4163,1.2307,16319.0,16319.0,16321.0,16472.0,16461.0,16462.0,142.5,60.25,144.5,88.25,1329.5,-4.75,19.25,0.0,22.0,0.0,1123.0,-3.0,6.25,-3.25,13.25,4.25,68.0,60.25,276.0,276.0,276.0,276.0,1.0,2.1429,2.3992,239904.0,8.4736,8.4736,8.4736,8.4786,1692.0,1692.0,1692.0,1693.0,1.0,1.0,1.0006,0.0,0.0,0.0,-13.0278,5.416,0.0,37.5979,37.8661,37.7888,37.7343,427.5583,423.6536,428.557,428.5379,422.3914,421.9037,421.786,431.5923,407.6771,45.9448,45.5341,46.1658,45.7657,45.1473,45.2022,45.6006,46.5557,44.1141,8.4335,8.4335,8.4335,8.4435,842.0,842.0,842.0,843.0,1.0,1.0,1.0012,0.0,0.0,0.0,-7.6905,3.0756,0.0,34.5507,34.8105,34.8453,34.6919,8.3701,8.3701,8.3701,8.3701,2507.0,2508.0,2507.0,2507.0,1.0004,0.9998006,0.9998006,0.0,0.0,0.0,-16.5119,5.9328,0.0,39.3281,39.6135,39.6353,39.297,261.0,261.0,0.0,0.0,0.0,0.0,263.0,261.0,1.0,0.0,0.0,0.0,124.0,124.0,124.0,124.0,144.0,2.0,70.8414,74.1561,79.4291,81.209,17.0,236552.0,3055.0,111.0,18.0,15.0,6.0,10.0,8.0,14.0,9.0,22.0,31.0,25.0,11.0,17.0,354.0,354.0,354.0,354.0,127.0,2.0,43.3165,45.6397,46.2249,46.5979,19.0,411.0,411.0,410.0,410.0,152.0,2.0,69.6955,73.4389,78.4465,80.1549,18.0,463.0,463.0,463.0,463.0,174.0,2.0,83.7757,86.7963,93.0816,95.0335,18.0,3171.0,3172.0,3170.0,3170.0,39.822,113.0,10.4008,-19.1429,3161.0,3162.0,3160.0,3159.0,39.4816,111.0,10.3929,-19.8529
17B636,#20,101,101,60.10,7,1,1,7.875e-06,1.5215e-06,2.1406e-06,3.9648e-06,2.480469e-07,0.0011658,1.2695e-06,1.9922e-06,0.0011523,1.02344e-05,0.0269414,0.0159063,0.0037734,0.0025176,0.0047441,3.035,-0.8986039,1.202,2.3816,2.117,1.6377,1.1564,1.3874,1.2097,16498.0,16495.0,16490.0,16643.0,16647.0,16638.0,144.75,60.25,139.5,99.25,1324.5,-5.5,18.25,0.0,21.25,0.0,1102.2,-7.0,6.25,-3.25,12.75,3.0,68.5,59.25,250.0,250.0,250.0,250.0,1.0,2.0278,2.6176,239904.0,8.4285,8.4285,8.4285,8.4235,1683.0,1684.0,1683.0,1682.0,1.0006,0.999703,0.999109,0.0,24.0,44.0,-13.3016,-15.7899,211.0,37.6915,37.6563,37.7877,37.8454,410.9624,434.0531,430.057,429.1223,425.2992,421.7246,406.7437,411.2854,423.2798,44.467,46.6255,46.4567,46.2401,45.6998,45.5064,44.2541,44.6191,46.1822,8.4034,8.4034,8.3834,8.4034,839.0,839.0,837.0,839.0,1.0,0.9976162,1.0,3.0,21.0,42.0,-8.1746,-6.9286,265.0,34.6044,34.6358,34.6875,34.7512,8.3333,8.3333,8.3333,8.3333,2496.0,2496.0,2496.0,2496.0,1.0,1.0,1.0,0.0,22.0,41.0,-17.5079,-18.584,214.0,39.1689,39.2988,39.407,39.227,259.0,259.0,0.0,0.0,0.0,0.0,260.0,260.0,0.0,0.0,0.0,0.0,126.0,126.0,125.0,126.0,147.0,2.0,78.8748,76.3777,68.8848,73.2014,8.0,236349.0,3230.0,123.0,18.0,16.0,12.0,13.0,10.0,19.0,14.0,27.0,32.0,20.0,11.0,10.0,319.0,319.0,318.0,319.0,125.0,2.0,46.9127,45.7587,40.2162,42.9113,6.0,375.0,375.0,375.0,375.0,164.0,2.0,78.1703,75.3385,68.44,72.6496,8.0,428.0,429.0,428.0,428.0,186.0,2.0,93.2819,90.0482,86.6004,90.4355,8.0,3155.0,3155.0,3154.0,3153.0,45.168,102.0,9.2421,16.3193,3147.0,3147.0,3146.0,3145.0,44.6426,99.0,8.8016,15.874
17B636,#20,102,101,60.10,0,1,1,7.6172e-06,1.502e-06,2.1426e-06,3.7715e-06,2.011719e-07,0.0011486,1.4258e-06,2.1289e-06,0.0011348,1.02734e-05,0.0264902,0.0155469,0.0037793,0.0025039,0.0046602,3.03,-0.8540052,1.1962,2.3712,2.0784,1.6153,1.1507,1.39,1.1761,15855.0,15860.0,15852.0,16010.0,16010.0,16006.0,151.0,60.75,140.75,86.0,1381.7,-4.5,19.25,0.0,23.75,0.0,1150.5,-6.25,6.5,-5.5,14.25,2.75,68.5,60.25,283.0,283.0,282.0,283.0,1.0,-2.2302,-2.6891,239904.0,8.6789,8.6789,8.6839,8.6789,1733.0,1734.0,1734.0,1733.0,1.0006,1.0003,0.9997115,0.0,0.0,0.0,-14.0873,4.3151,0.0,37.634,37.6733,37.8182,37.8391,453.7251,453.2684,459.7165,456.9561,468.1827,458.7766,452.7642,454.4002,459.326,47.6316,47.285,47.7314,47.8156,48.8381,47.6134,47.7499,47.6015,47.933,8.6639,8.6639,8.6739,8.6739,865.0,865.0,866.0,866.0,1.0,1.0012,1.0012,0.0,1.0,0.0,-7.3651,-4.0546,0.0,34.6729,34.4911,34.7058,34.8515,8.5737,8.5737,8.5737,8.5737,2568.0,2568.0,2568.0,2568.0,1.0,1.0,1.0,0.0,0.0,0.0,-17.1944,-7.3067,0.0,39.3386,39.464,38.955,39.2952,275.0,276.0,0.0,0.0,0.0,0.0,277.0,276.0,1.0,0.0,0.0,1.0,126.0,127.0,126.0,127.0,158.0,0.0,84.0203,78.6533,80.8496,82.6712,18.0,235875.0,3692.0,133.0,19.0,10.0,11.0,15.0,7.0,15.0,15.0,18.0,23.0,32.0,17.0,22.0,368.0,368.0,367.0,368.0,137.0,0.0,52.2387,46.8511,49.2637,49.935,18.0,425.0,426.0,425.0,425.0,177.0,0.0,82.3081,77.0654,79.5528,81.3643,18.0,479.0,480.0,479.0,480.0,191.0,0.0,94.3771,89.9468,92.3222,95.7542,21.0,3268.0,3268.0,3267.0,3266.0,41.831,106.0,8.8254,15.4286,3260.0,3259.0,3258.0,3258.0,41.4367,103.0,8.4921,15.1303
